Name ,Sex,Age,2022,2023,2024,2025,2026
WC - City of Cape Town Metropolitan Municipality,Male,30-34,229200.788954,227408.135691,224950.774316,222811.043753,221375.587678
WC - City of Cape Town Metropolitan Municipality,Male,35-39,221706.945149,226365.552298,230632.743652,233744.507625,233510.822473
WC - City of Cape Town Metropolitan Municipality,Male,40-44,181239.342008,189574.363924,198040.251048,205709.904518,213584.305900
WC - City of Cape Town Metropolitan Municipality,Male,45-49,153229.955133,156191.282765,159451.373160,163845.273877,170428.510258
WC - City of Cape Town Metropolitan Municipality,Male,50-54,125478.522335,131078.825820,136357.837594,141506.693704,145412.707943
WC - City of Cape Town Metropolitan Municipality,Male,55-59,100588.587945,103432.880782,106508.696099,109989.643162,114529.411982
WC - City of Cape Town Metropolitan Municipality,Male,60-64,76719.043216,80340.349370,83967.140930,87564.239070,90956.632923
WC - City of Cape Town Metropolitan Municipality,Male,65-69,55768.619792,58065.174666,60629.605275,63487.324383,66551.023026
WC - City of Cape Town Metropolitan Municipality,Male,70-74,39599.038097,41007.371850,42562.775093,44377.217589,46348.935559
WC - City of Cape Town Metropolitan Municipality,Male,75-79,24842.067421,26296.596281,27779.899672,29232.503740,30583.176193
WC - City of Cape Town Metropolitan Municipality,Male,80+,20307.796130,21887.713185,23557.239999,25352.226761,27263.222162
WC - City of Cape Town Metropolitan Municipality,Female,0-4,181355.299684,182269.972192,182979.684748,183549.717472,184321.020870
WC - City of Cape Town Metropolitan Municipality,Female,5-9,177130.248070,177319.785337,178173.809486,179850.330403,182170.796178
WC - City of Cape Town Metropolitan Municipality,Female,10-14,187684.324616,187519.578307,186067.013935,183691.710404,181158.198318
WC - City of Cape Town Metropolitan Municipality,Female,15-19,174559.484199,184899.544768,192446.237521,197312.677405,199259.329102
WC - City of Cape Town Metropolitan Municipality,Female,20-24,174725.782013,175385.141698,178902.386119,185089.549460,192832.895047
WC - City of Cape Town Metropolitan Municipality,Female,25-29,202576.215317,199059.971838,197042.452437,195867.220267,195763.251173
WC - City of Cape Town Metropolitan Municipality,Female,30-34,221357.108694,219987.001389,217857.756539,215812.073284,214287.939666
WC - City of Cape Town Metropolitan Municipality,Female,35-39,213497.045056,218101.145508,222280.395854,225297.441930,225193.053154
WC - City of Cape Town Metropolitan Municipality,Female,40-44,179435.883884,187012.186213,194328.773055,201146.999241,207982.815523
WC - City of Cape Town Metropolitan Municipality,Female,45-49,150138.743245,153805.189915,158119.237937,163339.666133,170067.163173
WC - City of Cape Town Metropolitan Municipality,Female,50-54,131152.001270,133660.865991,136355.146332,139479.729497,143436.998971
WC - City of Cape Town Metropolitan Municipality,Female,55-59,116626.717950,119051.565052,121596.845927,123823.559192,125802.121208
WC - City of Cape Town Metropolitan Municipality,Female,60-64,98329.212936,101261.826314,103901.632788,106716.064576,109619.916104
WC - City of Cape Town Metropolitan Municipality,Female,65-69,74995.507509,78668.275575,82244.182593,85697.117441,88906.877833
WC - City of Cape Town Metropolitan Municipality,Female,70-74,55610.537437,57306.792481,59487.861063,62050.004711,64917.165979
WC - City of Cape Town Metropolitan Municipality,Female,75-79,36913.878217,39772.597108,42227.643119,44233.188606,45713.164120
WC - City of Cape Town Metropolitan Municipality,Female,80+,29011.791463,31166.370329,33510.031664,35989.723854,38614.219563
NC - Namakwa District Municipality (DC6),Male,0-4,4747.054209,4719.609024,4688.364663,4659.459075,4641.753136
NC - Namakwa District Municipality (DC6),Male,5-9,4729.088250,4713.863079,4724.526824,4759.689598,4813.368643
NC - Namakwa District Municipality (DC6),Male,10-14,4829.145380,4763.273074,4699.297505,4637.169840,4588.762367
NC - Namakwa District Municipality (DC6),Male,15-19,4373.503225,4418.390657,4452.139720,4486.009705,4503.804689
NC - Namakwa District Municipality (DC6),Male,20-24,4191.180197,4089.532299,3978.637379,3886.701907,3834.238732
NC - Namakwa District Municipality (DC6),Male,25-29,4432.460057,4394.321657,4363.713413,4289.627800,4157.975262
NC - Namakwa District Municipality (DC6),Male,30-34,4949.003686,4878.053093,4790.186211,4717.738264,4662.396225
NC - Namakwa District Municipality (DC6),Male,35-39,4637.483901,4752.563573,4876.557443,4972.955788,4984.479795
NC - Namakwa District Municipality (DC6),Male,40-44,3888.585887,3981.808346,4086.895043,4194.017321,4331.330845
NC - Namakwa District Municipality (DC6),Male,45-49,3647.338789,3602.416856,3567.702426,3561.774541,3607.313770
NC - Namakwa District Municipality (DC6),Male,50-54,3349.414424,3407.114760,3438.574116,3455.399503,3437.219030
NC - Namakwa District Municipality (DC6),Male,55-59,2809.521681,2855.785974,2910.699037,2968.390353,3035.640939
NC - Namakwa District Municipality (DC6),Male,60-64,2230.040908,2277.866795,2333.520201,2392.930629,2450.714031
NC - Namakwa District Municipality (DC6),Male,65-69,1877.980510,1862.712315,1847.361759,1848.164995,1867.140369
NC - Namakwa District Municipality (DC6),Male,70-74,1311.977614,1379.408568,1435.329078,1470.757673,1483.152584
NC - Namakwa District Municipality (DC6),Male,75-79,780.375732,771.808776,785.052370,824.557914,890.285875
NC - Namakwa District Municipality (DC6),Male,80+,338.428295,365.812428,395.906506,429.339768,466.008648
NC - Namakwa District Municipality (DC6),Female,0-4,4723.243249,4704.061819,4667.848701,4621.173181,4577.377002
NC - Namakwa District Municipality (DC6),Female,5-9,4685.138725,4688.788825,4700.743661,4719.606991,4741.661871
NC - Namakwa District Municipality (DC6),Female,10-14,4938.123703,4874.721960,4830.816057,4797.067671,4770.041021
NC - Namakwa District Municipality (DC6),Female,15-19,4577.520787,4668.262973,4716.588054,4747.101719,4758.771755
NC - Namakwa District Municipality (DC6),Female,20-24,4235.736568,4179.121527,4148.622429,4150.536496,4181.918517
NC - Namakwa District Municipality (DC6),Female,25-29,4487.454715,4435.010368,4384.646348,4304.574288,4199.822094
NC - Namakwa District Municipality (DC6),Female,30-34,4989.925191,4922.393438,4846.756190,4791.471907,4751.896313
NC - Namakwa District Municipality (DC6),Female,35-39,4607.344140,4755.819369,4889.069470,4980.096769,4989.038811
NC - Namakwa District Municipality (DC6),Female,40-44,3748.449239,3888.335879,4045.787160,4207.733134,4378.360885
NC - Namakwa District Municipality (DC6),Female,45-49,3525.170770,3478.193127,3449.940862,3459.814391,3527.669894
NC - Namakwa District Municipality (DC6),Female,50-54,3544.173107,3524.385869,3489.888170,3451.699301,3424.153881
NC - Namakwa District Municipality (DC6),Female,55-59,3310.039182,3361.132401,3410.475958,3436.405435,3434.574337
