sal_code,pop
"2700660",558
"2700053",82
"2700606",481
"2700032",60
"2700059",87
"2700158",161
"2700568",449
"2700703",646
"2700129",141
"2700133",144
"2700609",482
"2700654",544
"2700460",354
"2700206",189
"2700684",607
"2700140",146
"2700615",491
"2700520",407
"2700166",167
"2700340",265
"2700208",190
"2700100",124
"2700300",242
"2700466",357
"2700424",322
"2700227",199
"2700633",513
"2700724",700
"2700685",609
"2700446",338
"2700625",500
"2700450",346
"2700581",459
"2700101",125
"2700683",607
"2700383",295
"2700143",147
"2700259",215
"2700069",96
"2700571",451
"2700187",181
"2700107",128
"2700580",457
"2700370",284
"2700757",875
"2700708",657
"2700641",525
"2700751",837
"2700714",670
"2700718",677
"2700743",790
"2700018",31
"2700328",258
"2700406",312
"2700452",348
"2700645",533
"2700702",645
"2700705",648
"2700736",752
"2700738",762
"2700742",787
"2700756",871
"2700762",985
"2700764",1058
"2700765",1139
"2700766",1359
"2700668",580
"2700473",366
"2700678",594
"2700761",957
"2700126",141
"2700474",367
"2700620",496
"2700672",589
"2700725",703
"2700127",141
"2700610",483
"2700497",380
"2700269",220
"2700186",181
"2700516",403
"2700356",274
"2700706",648
"2700583",460
"2700272",222
"2700307",249
"2700082",111
"2700584",461
"2700247",210
"2700119",134
"2700617",494
"2700499",385
"2700696",631
"2700680",599
"2700661",558
"2700093",120
"2700695",631
"2700528",414
"2700121",135
"2700650",542
"2700727",708
"2700068",96
"2700732",731
"2700517",404
"2700642",526
"2700746",796
"2700132",142
"2700539",420
"2700287",235
"2700719",678
"2700057",85
"2700083",112
"2700373",286
"2700324",255
"2700288",235
"2700190",182
"2700626",501
"2700659",554
"2700180",177
"2700391",301
"2700449",344
"2700364",280
"2700604",478
"2700037",63
"2700096",123
"2700439",331
"2700075",103
"2700556",433
"2700630",508
"2700689",616
"2700593",467
"2700734",743
"2700737",758
"2700444",334
"2700447",342
"2700092",120
"2700169",170
"2700303",245
"2700283",232
"2700390",301
"2700240",207
"2700402",308
"2700532",415
"2700064",92
"2700431",325
"2700233",202
"2700056",83
"2700214",192
"2700436",328
"2700471",364
"2700559",437
"2700707",648
"2700701",642
"2700194",184
